person,gender,popularity
Akira Morii,M,2.128
David Greenbaum,NS,0.6
Michael Minkler,M,1.22
Hugh Waddell,M,0.98
Brett C. Smith,NS,1.388
Greg Steele,M,1.474
Victoria Wood,F,0.6
John R. Manocchia,M,0.6
Will Casey,NS,0.6
Edward J. Borasch Jr,M,0.6
James Logan,M,2.192
Eriko Miyagawa,NS,0.6
Eddie Bydalek,M,0.6
Shinya Ohira,M,1.4
Eiji Ishimoto,M,0.6
Sushio,M,3.783
Yasunori Miyazawa,M,0.994
Yutaka Sakamoto,NS,0.6
Keiichi Sasajima,M,1.4
Hideki Takahashi,M,0.991
Takaaki Yamashita,M,0.6
Dede Nickerson,NS,0.6
Bruce Del Castillo,M,2.705
Emanuel Millar,NS,0.6
Rachael Lin Gallaghan,NS,0.84
Michelle Kuznetsky,F,0.702
Mary Ramos,F,0.98
Norman Cabrera,M,1.96
Mark Ulano,M,2.869
John Bires,NS,0.6
Steve Borgese,NS,0.6
John Stone,M,0.6
Archie Hankins,NS,0.6
Jeff Plauster,M,0.6
Jessica Miglio,NS,0.6
Cornelia Ryan,F,0.6
Vincent Joseph Flaherty,M,0.6
Michael Spitaletto,NS,0.6
Stephen Dudycha,NS,0.6
Angela Meryl,F,3.347
William Paul Clark,M,1.22
Mark Zunino,NS,0.6
Alexander AD,NS,0.6
Satoko Saito,NS,0.6
Laurel Pickering,NS,0.98
Marie Healy,F,0.6
Ayako Sakahara,NS,0.6
Elizabeth Norton,NS,0.6
Jamie Felz,NS,0.6
Herb Ault,NS,0.6
David Ladish,M,0.6
D.A. Young,M,0.6
Paul Abraham,NS,0.6
Robert Aaron Brown,M,0.6
Don Feeney,NS,0.6
Ian Elias,NS,0.6
Peter Mavromates,NS,0.6
Rome Duval,NS,0.6
Jennifer A. Bolitho,NS,0.6
Elida Cerda,NS,0.6
Leslie Yeransian,NS,0.728
Sho Brown,NS,0.6
Bruce Callahan,NS,0.6
Arturo del Río,NS,0.6
Jennifer Hall Lee,NS,0.6
Greg Fausak,NS,0.6
Khan Griffith,M,0.6
Preston A. Adams,NS,0.6
Carlos Escobar,NS,0.6
Katsumi Furuhashi,NS,0.6
Jennifer S. Deayton,F,0.6
Mike Hurst,NS,0.652
Kelly Bumbarger,NS,0.6
Jason Gustafson,NS,0.6
Daniel R. Kerr,NS,0.6
Julie Helton,NS,0.6
Satya Bellord,NS,0.6
Roger Morris,NS,0.6
Carlos A. Aragon,M,0.6
Shauna Duggins,F,0.6
Jody Hart,M,0.6
Craig S. Jaeger,M,0.6
Sue Smith,F,0.6
Rich King,M,1.048
Adam Blantz,M,0.6
Antonio V. Garrido,M,0.6
Rob Moses,NS,0.6
Kennedy Taylor,NS,0.6
Jonathan Tex Levitt,NS,0.6
Texas Dave,NS,0.6
Aaron Denenberg,NS,0.6
